1 | M | 33 | 服务员 | 海南 | 冰箱BCD-458WDVMU1 :: 洗衣机XQB55-M1269 :: 空调KFR-51LW |
101 | M | 68 | 研究院 | 四川 |  :: 洗衣机XQG80-WM12L2E88W :: 空调KFR-26GW |
102 | F | 21 | 学生 | 北京 | 冰箱BCD-452WDPF ::  :: 空调KFR-26GW |
103 | F | 46 | 服务员 | 山东 | 冰箱BCD-452WDPF :: 洗衣机EG10014B39GU1 :: 空调KFR-72LW |
104 | M | 46 | 教师 | 海南 | 冰箱BCD-258WDPM :: 洗衣机XQG80-WM12L2E88W ::  |
105 | M | 26 | 研究院 | 山东 | 冰箱BCD-610W :: 洗衣机TG80V20DG5 :: 空调KFR-35GW |
106 | F | 69 | 学生 | 四川 | 冰箱BCD-258WDPM :: 洗衣机EG10014B39GU1 ::  |
107 | F | 21 | 教师 | 四川 |  :: 洗衣机TG80V20DG5 :: 空调KFR-26GW |
108 | M | 63 | 码农 | 北京 | 冰箱BCD-610W :: 洗衣机EG10014B39GU1 ::  |
109 | M | 37 | 科学家 | 广西 | 冰箱BCD-452WDPF :: 洗衣机EG10014B39GU1 ::  |
110 | F | 27 | 服务员 | 山东 | 冰箱BCD-458WDVMU1 :: 洗衣机XQG80-WM12L2E88W :: 空调KFR-26GW |
111 | M | 33 | 教师 | 吉林 | 冰箱BCD-655WKPZM ::  :: 空调KFR-26GW |
112 | M | 49 | 白领 | 云南 | 冰箱BCD-458WDVMU1 :: 洗衣机TG80V20DG5 :: 空调KFR-72LW |
113 | F | 53 | 教师 | 内蒙 | 冰箱BCD-258WDPM ::  :: 空调KFR-26GW |
114 | F | 22 | 白领 | 山东 | 冰箱BCD-452WDPF :: 洗衣机TG80V20DG5 ::  |
115 | M | 73 | 白领 | 山西 | 冰箱BCD-458WDVMU1 ::  ::  |
116 | M | 26 | 科学家 | 吉林 | 冰箱BCD-655WKPZM :: 洗衣机XQB55-M1269 :: 空调KFR-26GW |
117 | F | 58 | 码农 | 安徽 |  ::  :: 空调KFR-26GW |
118 | F | 42 | 研究院 | 海南 |  ::  ::  |
119 | F | 43 | 研究院 | 山西 | 冰箱BCD-458WDVMU1 :: 洗衣机EG8012B39SU1 :: 空调KFR-26GW |
120 | F | 51 | 白领 | 安徽 | 冰箱BCD-610W :: 洗衣机XQG80-WM12L2E88W :: 空调KFR-26GW |
121 | M | 73 | 研究院 | 山西 | 冰箱BCD-458WDVMU1 :: 洗衣机XQG80-WM12L2E88W :: 空调KFR-72LW |
122 | F | 38 | 科学家 | 河北 | 冰箱BCD-458WDVMU1 :: 洗衣机XQG80-WM12L2E88W :: 空调KFR-35GW |
123 | M | 21 | 科学家 | 北京 | 冰箱BCD-655WKPZM :: 洗衣机XQB55-M1269 ::  |
124 | F | 46 | 白领 | 四川 | 冰箱BCD-458WDVMU1 ::  ::  |
125 | F | 20 | 教师 | 山东 |  :: 洗衣机EG10014B39GU1 :: 空调KFR-26GW |
126 | F | 31 | 中介 | 广西 | 冰箱BCD-452WDPF :: 洗衣机XQB55-M1269 :: 空调KFR-35GW |
127 | F | 23 | 研究院 | 北京 | 冰箱BCD-452WDPF :: 洗衣机TG80V20DG5 :: 空调KFR-26GW |
128 | F | 22 | 码农 | 四川 | 冰箱BCD-258WDPM :: 洗衣机EG10014B39GU1 ::  |
129 | F | 70 | 学生 | 四川 | 冰箱BCD-452WDPF :: 洗衣机XQG80-WM12L2E88W :: 空调KFR-35GW |
130 | M | 19 | 码农 | 吉林 | 冰箱BCD-610W :: 洗衣机XQB55-M1269 :: 空调KFR-51LW |
131 | M | 57 | 教师 | 海南 | 冰箱BCD-258WDPM :: 洗衣机TG80V20DG5 :: 空调KFR-35GW |
132 | M | 45 | 研究院 | 安徽 | 冰箱BCD-452WDPF :: 洗衣机XQB55-M1269 :: 空调KFR-26GW |
133 | F | 18 | 教师 | 广西 | 冰箱BCD-655WKPZM :: 洗衣机XQB55-M1269 :: 空调KFR-26GW |
134 | F | 70 | 服务员 | 北京 |  :: 洗衣机EG8012B39SU1 :: 空调KFR-35GW |
135 | M | 30 | 码农 | 广西 | 冰箱BCD-452WDPF :: 洗衣机XQG80-WM12L2E88W :: 空调KFR-26GW |
136 | F | 60 | 研究院 | 河北 | 冰箱BCD-655WKPZM :: 洗衣机EG10014B39GU1 :: 空调KFR-72LW |
137 | F | 58 | 码农 | 山西 | 冰箱BCD-452WDPF :: 洗衣机XQB55-M1269 :: 空调KFR-35GW |
138 | M | 75 | 学生 | 四川 | 冰箱BCD-258WDPM :: 洗衣机XQB55-M1269 :: 空调KFR-26GW |
139 | M | 55 | 研究院 | 山西 | 冰箱BCD-452WDPF ::  :: 空调KFR-35GW |
140 | F | 50 | 研究院 | 广西 |  ::  :: 空调KFR-72LW |
141 | F | 58 | 学生 | 北京 | 冰箱BCD-610W ::  :: 空调KFR-72LW |
142 | F | 40 | 科学家 | 四川 | 冰箱BCD-452WDPF :: 洗衣机EG8012B39SU1 :: 空调KFR-35GW |
143 | F | 40 | 科学家 | 山西 | 冰箱BCD-452WDPF :: 洗衣机XQB55-M1269 :: 空调KFR-72LW |
144 | M | 43 | 研究院 | 山东 | 冰箱BCD-458WDVMU1 ::  ::  |
145 | F | 60 | 学生 | 吉林 | 冰箱BCD-452WDPF :: 洗衣机XQB55-M1269 :: 空调KFR-51LW |
146 | F | 21 | 服务员 | 山西 | 冰箱BCD-258WDPM :: 洗衣机EG10014B39GU1 :: 空调KFR-51LW |
147 | M | 60 | 学生 | 广西 |  :: 洗衣机XQG80-WM12L2E88W ::  |
148 | F | 42 | 中介 | 云南 |  :: 洗衣机XQB55-M1269 :: 空调KFR-26GW |
149 | M | 74 | 研究院 | 广西 | 冰箱BCD-458WDVMU1 ::  :: 空调KFR-26GW |
150 | F | 26 | 科学家 | 安徽 | 冰箱BCD-655WKPZM :: 洗衣机XQB55-M1269 :: 空调KFR-51LW |
151 | M | 31 | 白领 | 安徽 | 冰箱BCD-458WDVMU1 ::  ::  |
152 | M | 73 | 研究院 | 吉林 | 冰箱BCD-655WKPZM :: 洗衣机XQB55-M1269 ::  |
153 | M | 58 | 学生 | 安徽 | 冰箱BCD-655WKPZM :: 洗衣机EG10014B39GU1 :: 空调KFR-72LW |
154 | M | 64 | 中介 | 山西 | 冰箱BCD-458WDVMU1 :: 洗衣机XQB55-M1269 :: 空调KFR-51LW |
155 | F | 45 | 科学家 | 安徽 | 冰箱BCD-610W :: 洗衣机TG80V20DG5 :: 空调KFR-72LW |
156 | M | 45 | 码农 | 广西 | 冰箱BCD-258WDPM :: 洗衣机XQB55-M1269 :: 空调KFR-51LW |
157 | M | 75 | 码农 | 云南 | 冰箱BCD-458WDVMU1 :: 洗衣机XQB55-M1269 :: 空调KFR-26GW |
158 | M | 51 | 服务员 | 四川 |  :: 洗衣机EG10014B39GU1 :: 空调KFR-26GW |
159 | F | 56 | 研究院 | 广西 |  :: 洗衣机TG80V20DG5 :: 空调KFR-51LW |
160 | M | 64 | 教师 | 内蒙 | 冰箱BCD-655WKPZM :: 洗衣机EG10014B39GU1 :: 空调KFR-35GW |
161 | F | 40 | 教师 | 山西 | 冰箱BCD-610W :: 洗衣机EG10014B39GU1 :: 空调KFR-72LW |
162 | F | 24 | 科学家 | 北京 |  :: 洗衣机EG8012B39SU1 ::  |
163 | M | 68 | 科学家 | 内蒙 | 冰箱BCD-610W :: 洗衣机XQB55-M1269 ::  |
164 | M | 57 | 学生 | 云南 | 冰箱BCD-458WDVMU1 :: 洗衣机EG10014B39GU1 :: 空调KFR-72LW |
165 | M | 25 | 中介 | 内蒙 | 冰箱BCD-610W :: 洗衣机XQB55-M1269 :: 空调KFR-72LW |
166 | M | 65 | 科学家 | 北京 | 冰箱BCD-458WDVMU1 :: 洗衣机TG80V20DG5 :: 空调KFR-26GW |
167 | M | 22 | 教师 | 四川 | 冰箱BCD-458WDVMU1 :: 洗衣机XQG80-WM12L2E88W :: 空调KFR-72LW |
168 | M | 25 | 教师 | 海南 | 冰箱BCD-452WDPF :: 洗衣机TG80V20DG5 :: 空调KFR-51LW |
169 | F | 52 | 研究院 | 北京 | 冰箱BCD-458WDVMU1 ::  :: 空调KFR-26GW |
170 | F | 53 | 研究院 | 山东 | 冰箱BCD-458WDVMU1 :: 洗衣机EG8012B39SU1 :: 空调KFR-26GW |
171 | M | 51 | 科学家 | 安徽 | 冰箱BCD-610W :: 洗衣机XQB55-M1269 :: 空调KFR-35GW |
172 | M | 26 | 科学家 | 山东 | 冰箱BCD-258WDPM ::  :: 空调KFR-26GW |
173 | F | 58 | 研究院 | 河北 | 冰箱BCD-452WDPF :: 洗衣机XQB55-M1269 :: 空调KFR-51LW |
174 | M | 67 | 学生 | 四川 | 冰箱BCD-458WDVMU1 :: 洗衣机EG10014B39GU1 :: 空调KFR-26GW |
175 | M | 47 | 科学家 | 内蒙 | 冰箱BCD-610W :: 洗衣机XQG80-WM12L2E88W :: 空调KFR-35GW |
176 | F | 49 | 科学家 | 内蒙 |  :: 洗衣机XQB55-M1269 :: 空调KFR-26GW |
177 | F | 35 | 码农 | 内蒙 | 冰箱BCD-258WDPM :: 洗衣机XQB55-M1269 ::  |
178 | F | 59 | 白领 | 北京 | 冰箱BCD-452WDPF :: 洗衣机EG10014B39GU1 :: 空调KFR-35GW |
179 | F | 64 | 中介 | 海南 | 冰箱BCD-610W :: 洗衣机XQB55-M1269 :: 空调KFR-26GW |
180 | M | 75 | 学生 | 云南 | 冰箱BCD-452WDPF :: 洗衣机XQB55-M1269 :: 空调KFR-72LW |
181 | F | 44 | 学生 | 山西 | 冰箱BCD-458WDVMU1 ::  :: 空调KFR-51LW |
182 | M | 31 | 中介 | 广西 | 冰箱BCD-458WDVMU1 :: 洗衣机EG10014B39GU1 :: 空调KFR-51LW |
183 | F | 49 | 白领 | 广西 | 冰箱BCD-458WDVMU1 :: 洗衣机EG8012B39SU1 ::  |
184 | M | 46 | 研究院 | 山西 | 冰箱BCD-458WDVMU1 ::  :: 空调KFR-72LW |
185 | F | 31 | 研究院 | 山西 |  :: 洗衣机TG80V20DG5 :: 空调KFR-72LW |
186 | F | 42 | 白领 | 云南 | 冰箱BCD-452WDPF ::  :: 空调KFR-35GW |
187 | M | 18 | 码农 | 四川 | 冰箱BCD-655WKPZM :: 洗衣机XQG80-WM12L2E88W :: 空调KFR-35GW |
188 | M | 52 | 科学家 | 河北 | 冰箱BCD-452WDPF :: 洗衣机EG8012B39SU1 :: 空调KFR-72LW |
189 | M | 45 | 服务员 | 山东 | 冰箱BCD-452WDPF ::  :: 空调KFR-35GW |
190 | F | 39 | 学生 | 四川 | 冰箱BCD-610W ::  :: 空调KFR-35GW |
191 | M | 47 | 学生 | 山西 |  ::  :: 空调KFR-26GW |
192 | M | 24 | 中介 | 河北 | 冰箱BCD-258WDPM :: 洗衣机EG8012B39SU1 ::  |
193 | M | 21 | 研究院 | 吉林 | 冰箱BCD-258WDPM :: 洗衣机XQG80-WM12L2E88W :: 空调KFR-51LW |
194 | M | 29 | 科学家 | 海南 | 冰箱BCD-458WDVMU1 :: 洗衣机EG10014B39GU1 :: 空调KFR-72LW |
195 | M | 19 | 白领 | 内蒙 | 冰箱BCD-655WKPZM :: 洗衣机EG8012B39SU1 :: 空调KFR-35GW |
196 | M | 41 | 服务员 | 内蒙 | 冰箱BCD-258WDPM :: 洗衣机TG80V20DG5 :: 空调KFR-26GW |
197 | F | 24 | 教师 | 安徽 |  :: 洗衣机TG80V20DG5 :: 空调KFR-51LW |
198 | F | 24 | 码农 | 安徽 |  :: 洗衣机TG80V20DG5 :: 空调KFR-26GW |
199 | F | 49 | 白领 | 山西 | 冰箱BCD-655WKPZM :: 洗衣机XQG80-WM12L2E88W :: 空调KFR-26GW |
200 | F | 48 | 白领 | 山西 | 冰箱BCD-610W ::  :: 空调KFR-26GW |
201 | M | 41 | 科学家 | 四川 | 冰箱BCD-452WDPF :: 洗衣机XQB55-M1269 ::  |
202 | F | 22 | 码农 | 山东 | 冰箱BCD-655WKPZM :: 洗衣机XQB55-M1269 :: 空调KFR-26GW |
203 | M | 61 | 教师 | 山东 | 冰箱BCD-655WKPZM :: 洗衣机EG8012B39SU1 :: 空调KFR-35GW |
204 | F | 55 | 研究院 | 海南 |  :: 洗衣机EG10014B39GU1 :: 空调KFR-72LW |
205 | F | 38 | 中介 | 四川 |  ::  :: 空调KFR-72LW |
206 | M | 41 | 研究院 | 山东 | 冰箱BCD-610W :: 洗衣机XQB55-M1269 :: 空调KFR-51LW |
207 | M | 50 | 研究院 | 云南 | 冰箱BCD-458WDVMU1 :: 洗衣机TG80V20DG5 :: 空调KFR-26GW |
208 | F | 40 | 学生 | 云南 | 冰箱BCD-458WDVMU1 ::  :: 空调KFR-51LW |
209 | M | 38 | 码农 | 河北 |  :: 洗衣机XQG80-WM12L2E88W ::  |
210 | F | 38 | 学生 | 四川 | 冰箱BCD-610W :: 洗衣机XQG80-WM12L2E88W :: 空调KFR-26GW |
211 | F | 38 | 服务员 | 吉林 | 冰箱BCD-655WKPZM :: 洗衣机XQB55-M1269 :: 空调KFR-26GW |
212 | F | 75 | 服务员 | 山东 | 冰箱BCD-452WDPF :: 洗衣机EG8012B39SU1 :: 空调KFR-26GW |
213 | M | 55 | 研究院 | 安徽 | 冰箱BCD-258WDPM :: 洗衣机EG8012B39SU1 :: 空调KFR-51LW |
214 | F | 25 | 研究院 | 云南 | 冰箱BCD-452WDPF :: 洗衣机EG10014B39GU1 :: 空调KFR-35GW |
215 | M | 66 | 教师 | 海南 | 冰箱BCD-655WKPZM :: 洗衣机XQG80-WM12L2E88W ::  |
216 | M | 24 | 中介 | 北京 | 冰箱BCD-655WKPZM :: 洗衣机XQB55-M1269 :: 空调KFR-26GW |
217 | F | 66 | 学生 | 内蒙 | 冰箱BCD-655WKPZM :: 洗衣机XQG80-WM12L2E88W ::  |
218 | M | 49 | 研究院 | 安徽 | 冰箱BCD-452WDPF :: 洗衣机EG10014B39GU1 :: 空调KFR-26GW |
219 | F | 71 | 服务员 | 广西 | 冰箱BCD-610W ::  :: 空调KFR-26GW |
220 | F | 40 | 科学家 | 山西 | 冰箱BCD-655WKPZM :: 洗衣机EG10014B39GU1 :: 空调KFR-35GW |
221 | F | 26 | 学生 | 广西 |  ::  ::  |
222 | F | 30 | 白领 | 云南 | 冰箱BCD-452WDPF :: 洗衣机XQG80-WM12L2E88W :: 空调KFR-26GW |
223 | F | 59 | 服务员 | 安徽 | 冰箱BCD-452WDPF ::  :: 空调KFR-51LW |
224 | M | 54 | 教师 | 内蒙 | 冰箱BCD-258WDPM ::  :: 空调KFR-72LW |
225 | F | 71 | 教师 | 海南 | 冰箱BCD-610W :: 洗衣机XQG80-WM12L2E88W :: 空调KFR-35GW |
226 | M | 52 | 码农 | 山东 | 冰箱BCD-610W ::  :: 空调KFR-51LW |
227 | M | 59 | 教师 | 四川 | 冰箱BCD-655WKPZM :: 洗衣机TG80V20DG5 :: 空调KFR-26GW |
228 | M | 54 | 白领 | 山西 |  :: 洗衣机XQB55-M1269 :: 空调KFR-51LW |
229 | M | 64 | 码农 | 云南 | 冰箱BCD-258WDPM :: 洗衣机EG8012B39SU1 :: 空调KFR-26GW |
230 | M | 73 | 中介 | 北京 |  :: 洗衣机XQB55-M1269 :: 空调KFR-26GW |
231 | M | 29 | 白领 | 吉林 | 冰箱BCD-458WDVMU1 :: 洗衣机EG10014B39GU1 ::  |
232 | M | 71 | 研究院 | 山西 | 冰箱BCD-458WDVMU1 :: 洗衣机EG8012B39SU1 :: 空调KFR-35GW |
233 | M | 41 | 中介 | 内蒙 | 冰箱BCD-610W :: 洗衣机XQB55-M1269 :: 空调KFR-72LW |
234 | M | 48 | 研究院 | 广西 | 冰箱BCD-258WDPM :: 洗衣机XQB55-M1269 :: 空调KFR-26GW |
